Open,High,Low,Close,Volume,Dividends,Stock Splits
170.3483142712696,173.4126357064522,170.05978216988254,172.8654327392578,52164500,0.0,0.0
171.38300644816397,172.74604200248547,169.9503503441725,171.5222930908203,49594600,0.0,0.0
170.21897084309467,173.3230971309324,170.09958662548377,172.77589416503906,53020300,0.0,0.0
172.9052228826004,174.55677541307548,171.80087332078952,174.01953125,48527900,0.0,0.0
172.91519374528787,177.08386504118667,172.29833981891508,176.58641052246094,57224100,0.0,0.0
175.90984130036352,178.13844271575493,174.9049887701616,178.07875061035156,42390800,0.0,0.0
177.19329460024346,178.8050422825199,177.04404914526214,177.4818115234375,43698000,0.0,0.0
177.29276793860927,178.934376778521,176.69583169045495,178.88462829589844,47551100,0.0,0.0
179.15326740464937,181.41169985997632,178.12849718812186,179.79000854492188,56743100,0.0,0.0
180.49637644231288,181.0037745319306,177.2330763630847,177.93946838378906,51427100,0.0,0.0
175.8501629741456,178.16830272928576,175.6113793527165,177.8101348876953,52517000,0.0,0.0
175.75065345353025,177.51164648069582,173.91008107267712,176.24810791015625,57549400,0.0,0.0
174.68610759193962,176.675925404563,174.2184991914847,174.9447784423828,54764400,0.0,0.0
175.14377581100544,176.934615069013,174.29811225938155,174.56674194335938,59302900,0.0,0.0
174.41748411190304,174.52692470271634,171.7610790597315,171.99986267089844,64189300,0.0,0.0
170.03989138552444,173.12410000549235,169.06486968930292,172.11924743652344,55980100,0.0,0.0
172.16900818588664,172.78584691760477,170.57714768848314,172.55702209472656,43816600,0.0,0.0
171.00495537970454,172.17894065511763,169.78120643940753,170.2289276123047,57157000,0.0,0.0
169.50265408273685,170.50752196340542,164.82658447106704,166.04037475585938,70625300,0.0,0.0
166.06025811746898,168.09982452120383,165.98066357895524,167.36358642578125,58499100,0.0,0.0
168.15951125981562,170.29855938255494,168.01026581195362,169.42303466796875,51131000,0.0,0.0
168.48783537237242,170.0299320873337,167.04520526182563,169.90060424804688,44846000,0.0,0.0
170.12943912175612,173.34299094334614,169.25391434317544,173.08432006835938,56934900,0.0,0.0
174.62643385748567,176.87492275709644,174.56674174580408,176.66600036621094,77334800,0.0,0.0
173.35293714814614,175.91980400512907,172.46746880912187,175.7506561279297,79763700,0.0,0.0
175.4820538657156,178.51651416370188,175.31292115784572,178.31753540039062,63841300,0.0,0.0
178.26777400701332,181.5111868204666,178.05885163405057,180.89434814453125,70530000,0.0,0.0
181.42163346831308,182.51602408619547,180.66549303224815,181.95887756347656,49340300,0.0,0.0
182.02854143945973,183.18262424113618,180.88438708061216,181.48133850097656,53763500,0.0,0.0
183.27453648198352,185.8647137408318,182.83619738884556,185.69534301757812,66133400,0.24,0.0
185.1175429542476,185.3267405684616,183.51362870714988,184.1013946533203,43627500,0.0,0.0
186.99042643314226,187.3988801404597,185.59572499487004,186.73141479492188,60108400,0.0,0.0
187.13987177614973,188.78362815723474,187.0701291024632,187.29925537109375,53790500,0.0,0.0
188.85337347970633,190.2381182374616,187.9368379901175,188.9928436279297,54412900,0.0,0.0
189.53079624428992,189.66030966849544,187.85715445966235,188.97291564941406,50922700,0.0,0.0
189.1721570341783,191.18452507182084,189.16220030963925,190.72625732421875,46505100,0.0,0.0
190.6864202228131,190.79600500003974,189.02273511481332,189.91932678222656,38134500,0.0,0.0
190.7661194461664,192.20066307246498,190.10861078342128,190.5867919921875,39617700,0.0,0.0
190.14845324052308,190.1783386160579,188.53458215721702,189.25186157226562,24048300,0.0,0.0
189.2020384462403,189.94920320088846,188.18589012360914,189.07252502441406,40552600,0.0,0.0
189.06257021852784,190.35765884661393,188.68400187464417,189.6802215576172,38415400,0.0,0.0
190.17834402840006,191.3638479620414,188.25564720911126,188.6541290283203,43014200,0.0,0.0
189.12233356607825,189.60052993998752,187.47857723394316,189.23191833496094,48794400,0.0,0.0
189.61049575839724,190.83584172296256,188.51464801700962,190.51705932617188,45679300,0.0,0.0
189.2618062982008,189.33154897076486,186.74137178051248,188.71388244628906,43389500,0.0,0.0
189.49095553635823,193.66510330405998,189.46105496038606,192.68881225585938,66628400,0.0,0.0
193.71492476298596,194.0237504491889,191.38377422735084,191.59298706054688,41089700,0.0,0.0
192.89801877673727,194.2628348546959,192.8581614774812,193.5355987548828,47477700,0.0,0.0
193.46585241287198,195.2490940936735,192.9378572160349,194.97015380859375,53377300,0.0,0.0
192.37999481273732,192.75856317871126,190.6963810180936,192.44972229003906,60943700,0.0,0.0
192.35011019828545,193.9839099721223,190.99525073697387,193.9739532470703,52696900,0.0,0.0
194.35249384296804,197.25149676182392,194.1134108483282,197.21165466308594,70404200,0.0,0.0
197.27142786027224,198.86537024837708,195.4184586232846,197.361083984375,66831600,0.0,0.0
196.78326281926297,197.649969035306,196.25526763005226,196.8231201171875,128256700,0.0,0.0
195.34871599607987,195.88668314304041,193.65514555781985,195.14947509765625,55751900,0.0,0.0
195.41846071151812,196.2054675888958,195.14947713522938,196.1955108642578,40714100,0.0,0.0
196.1556575241543,196.93270769258373,194.09349060058594,194.09349060058594,52242800,0.0,0.0
195.35867601686434,196.3349670004207,192.76849889188017,193.94403076171875,46482500,0.0,0.0
194.44214724126428,194.67128870939118,192.24051029057514,192.86813354492188,37122800,0.0,0.0
192.87810156107636,193.15704186798172,192.1010513916819,192.32022094726562,28919300,0.0,0.0
191.7623368685013,192.7685133001503,190.36762015806895,192.41983032226562,48087700,0.0,0.0
193.4060861494978,193.92412463427104,192.43975185339073,192.84820556640625,34049900,0.0,0.0
193.1669858687692,193.6650956984474,191.00519103209842,191.8021697998047,42628800,0.0,0.0
